iter	RMSE
0	14.8500172
1	14.47818347
2	14.1226413
3	13.77159585
4	13.43837273
5	13.11122121
6	12.80080022
7	12.50900768
8	12.21235225
9	11.91440659
10	11.61797982
11	11.38418058
12	11.16724738
13	10.91479591
14	10.67530434
15	10.43079954
16	10.20692763
17	10.00136484
18	9.781170347
19	9.582113282
20	9.404984101
21	9.227936333
22	9.046249147
23	8.876664986
24	8.712751335
25	8.579225436
26	8.430911988
27	8.297843034
28	8.170176939
29	8.046218318
30	7.927030537
31	7.819064951
32	7.713852274
33	7.620575318
34	7.514779947
35	7.416888307
36	7.319229829
37	7.235458491
38	7.144425293
39	7.061475811
40	6.98641618
41	6.928202781
42	6.851714161
43	6.786398864
44	6.719152457
45	6.656419506
46	6.591740894
47	6.535859164
48	6.473828479
49	6.423019049
50	6.376819245
51	6.328388313
52	6.276868434
53	6.228093114
54	6.182654917
55	6.139181019
56	6.101888
57	6.062715146
58	6.024061457
59	5.992538864
60	5.955230748
61	5.924908159
62	5.88723575
63	5.85319658
64	5.821020326
65	5.791314973
66	5.76062578
67	5.731659265
68	5.714287997
69	5.690888929
70	5.66428652
71	5.640530794
72	5.620387193
73	5.596307478
74	5.57414934
75	5.552332201
76	5.534098616
77	5.513067406
78	5.49528703
79	5.476616821
80	5.465127197
81	5.446643428
82	5.431002217
83	5.414046827
84	5.400347669
85	5.384809801
86	5.372257129
87	5.360108047
88	5.346897586
89	5.334266642
90	5.319605616
91	5.30073021
92	5.291049886
93	5.283352783
94	5.274194902
95	5.267790958
96	5.258144576
97	5.250798305
98	5.238698419
99	5.229032396
100	5.217696849
101	5.209776109
102	5.196405582
103	5.184848714
104	5.177084226
105	5.166473958
106	5.158784834
107	5.149368809
108	5.142731991
109	5.135395828
110	5.127580117
111	5.120856662
112	5.114949519
113	5.106928097
114	5.099821185
115	5.09149423
116	5.0882105
117	5.082171333
118	5.077877006
119	5.069396945
120	5.063095217
121	5.059556523
122	5.052200583
123	5.042893345
124	5.038975676
125	5.034390034
126	5.03012889
127	5.02544873
128	5.017654461
129	5.013441894
130	5.006837852
131	5.001563855
132	4.994395944
133	4.988600812
134	4.983918531
135	4.979867313
136	4.973817874
137	4.970556496
138	4.967031422
139	4.960425388
140	4.952408805
141	4.950566229
142	4.943831345
143	4.937221641
144	4.92897674
145	4.925940655
146	4.91912668
147	4.914227644
148	4.910831165
149	4.906044842
150	4.90412411
151	4.900133964
152	4.895826026
153	4.893056906
154	4.890486679
155	4.886488741
156	4.880537098
157	4.877882301
158	4.872219538
159	4.869629522
160	4.868185348
161	4.864255607
162	4.858875258
163	4.853029353
164	4.849135871
165	4.845334474
166	4.841977991
167	4.839018988
168	4.835352074
169	4.830522213
170	4.825418628
171	4.82127298
172	4.816692041
173	4.812104762
174	4.809393075
175	4.808347985
176	4.804671616
177	4.800740589
178	4.798940602
